Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
59 St-Columbus Circle ,"IRT Broadway Line (1,2,9) & IND 8th Ave Line or IND Central Park West Line (A,B,C,D)","21,300,892","21,599,586","22,774,421","23,566,961","23,299,666","23,203,443","-96,223",-0.40%,8,Manhattan
66 St-Lincoln Center ,"IRT Broadway Line (1,2,9)","7,089,390","7,367,599","7,527,781","7,772,308","7,790,234","7,606,975","-183,259",-2.40%,56,Manhattan
68 St-Hunter College ,"IRT Lexington Ave Line (4,6)","10,481,234","10,373,302","10,520,477","10,545,971","10,237,854","10,124,694","-113,160",-1.10%,29,Manhattan
7 Av-53 St,"IND 6th Ave Line (B,D) & IND Queens Blvd Line (E)","4,297,779","4,384,090","4,744,808","5,092,341","5,252,615","5,162,589","-90,026",-1.70%,89,Manhattan
72 St ,"IRT Broadway Line (1,2,3,9)","12,784,301","13,043,031","13,456,906","13,375,012","13,341,361","13,257,766","-83,595",-0.60%,22,Manhattan
72 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,787,379","2,832,934","2,942,517","3,015,722","2,979,236","2,921,892","-57,344",-1.90%,177,Manhattan
77 St ,"IRT Lexington Ave Line (4,6)","11,163,007","11,109,431","11,167,386","11,454,604","11,014,861","10,927,200","-87,661",-0.80%,28,Manhattan
79 St ,"IRT Broadway Line (1,2,9)","5,330,857","5,292,422","5,438,078","5,601,595","5,534,255","5,371,624","-162,631",-2.90%,83,Manhattan
8 St-New York University,"BMT Broadway Line (N,Q,R,W)","5,779,126","5,663,358","5,379,647","5,635,598","5,894,747","6,030,544","135,797",2.30%,72,Manhattan
81 St-Museum of Natural History ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","4,116,976","4,232,404","4,477,625","4,561,347","4,584,041","4,517,912","-66,129",-1.40%,109,Manhattan
86 St ,"IRT Broadway Line (1,2,9)","6,128,225","6,219,513","6,333,352","6,519,979","6,464,625","6,359,252","-105,373",-1.60%,68,Manhattan
86 St ,"IRT Lexington Ave Line (4,5,6)","19,425,347","19,686,985","20,528,208","20,735,032","20,890,828","20,337,593","-553,235",-2.60%,10,Manhattan
86 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","3,238,616","3,300,644","3,408,922","3,515,551","3,474,343","3,478,317","3,974",0.10%,146,Manhattan
96 St ,"IRT Broadway Line (1,2,3,9)","11,784,341","12,108,040","12,582,947","13,108,304","13,008,596","12,700,397","-308,199",-2.40%,24,Manhattan
96 St ,"IRT Lexington Ave Line (4,6)","7,753,114","7,708,346","7,785,646","7,958,453","8,294,978","8,004,488","-290,490",-3.50%,49,Manhattan
96 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,775,904","2,829,949","2,979,535","3,089,701","3,084,906","3,044,779","-40,127",-1.30%,169,Manhattan
Astor Place ,"IRT Lexington Ave Line (4,6)","5,571,077","5,535,996","5,775,276","5,751,688","5,447,655","5,271,496","-176,159",-3.20%,86,Manhattan
Bowery ,"BMT Nassau Street Line (J,M,Z)","991,686","968,629","970,576","1,057,000","1,184,920","1,223,959","39,039",3.30%,333,Manhattan
Bowling Green ,"IRT Lexington Ave Line (4,5)","7,793,614","7,990,789","9,081,649","10,261,064","9,153,462","8,870,811","-282,651",-3.10%,39,Manhattan
Broad St ,"BMT Nassau Street Line (J,M,Z)","1,473,717","1,315,012","1,436,506","1,662,905","1,834,780","2,064,292","229,512",12.50%,241,Manhattan
Broadway-Lafayette St/Bleecker St ,"IND 6th Ave Line (B,D,F,V) & IRT Lexington Ave Line (4,6)","11,651,990","11,792,114","12,560,629","12,913,327","12,666,868","12,405,639","-261,229",-2.10%,26,Manhattan
Brooklyn Bridge-City Hall/Chambers St ,"IRT Lexington Ave Line (4,5,6) & BMT Nassau Street Line (J,M,Z)","10,681,037","10,650,508","10,721,984","10,938,927","10,481,576","10,059,080","-422,496",-4.00%,30,Manhattan
Canal St ,"IRT 7th Ave Line (1,2,9)","1,785,923","1,727,415","1,787,110","1,859,071","1,830,920","1,801,063","-29,857",-1.60%,271,Manhattan
Canal St ,"IND 8th Ave Line (A,C,E)","5,646,937","5,612,068","5,922,371","6,013,138","6,011,243","5,753,945","-257,298",-4.30%,77,Manhattan
Canal St ,"IRT Lexington Ave Line (4,5,6) & BMT Nassau Street Line (J,M,Z) & BMT Broadway Line (N,Q,R,W)","15,577,018","15,529,659","15,227,139","15,104,077","15,094,135","15,274,896","180,761",1.20%,18,Manhattan
Cathedral Pkwy-110 St ,"IRT Broadway Line (1,9) ","4,440,822","4,491,643","4,557,743","4,301,285","4,280,482","4,160,302","-120,180",-2.80%,123,Manhattan
Cathedral Pkwy-110 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,166,542","2,207,790","2,301,545","2,351,549","2,376,166","2,354,421","-21,745",-0.90%,212,Manhattan
Central Park North-110 St ,"IRT 6th Ave Line or IRT Lenox Ave Line (2,3)","2,724,841","2,808,386","2,932,790","3,110,140","3,188,551","3,147,750","-40,801",-1.30%,163,Manhattan
Chambers St ,"IRT 7th Ave Line (1,2,3,9)","6,554,728","6,603,287","6,755,281","6,973,674","7,054,771","6,948,976","-105,795",-1.50%,62,Manhattan
Chambers St /Park Place ,"IND 8th Ave Line (A,C,E) & IRT 7th Ave Line (2,3)","15,458,781","15,364,366","15,641,210","16,088,983","16,910,084","16,079,624","-830,460",-4.90%,17,Manhattan
Christopher St-Sheridan Sq ,"IRT 7th Ave Line (1,2,9)","3,471,186","3,435,088","3,433,544","3,480,159","3,363,949","3,307,136","-56,813",-1.70%,156,Manhattan
City Hall ,"BMT Broadway Line (N,R,W) ","2,627,822","2,094,122","1,560,414","1,151,646","1,828,806","1,977,733","148,927",8.10%,256,Manhattan
Cortlandt St ,"IRT 7th Ave Line (1,9)",0,0,0,0,0,0,0,N/A,,Manhattan
Cortlandt St R subway W subway,"BMT Broadway Line (N,R,W)","1,640,638","2,062,289","1,601,732","1,500,040","2,713,532","4,270,036","1,556,504",57.40%,116,Manhattan
Delancey St/Essex St ,"IND 6th Ave Line (F) & BMT Nassau Street Line (J,M,Z)","7,172,867","7,280,936","7,759,914","7,909,365","8,226,975","8,458,101","231,126",2.80%,44,Manhattan
Dyckman St ,IRT Broadway Line (1),"1,212,678","1,231,954","2,094,538","2,298,848","2,317,843","2,410,021","92,178",4.00%,207,Manhattan
Dyckman St ,IND 8th Ave Line (A),"2,326,780","2,344,316","2,112,706","2,158,170","2,244,154","2,135,271","-108,883",-4.90%,232,Manhattan
East Broadway ,IND 6th Ave Line (F),"4,057,707","4,021,679","4,208,654","4,379,909","4,576,662","4,752,739","176,077",3.80%,101,Manhattan
Franklin St ,"IRT 7th Ave Line (1,2,9)","1,777,323","1,714,218","1,703,889","1,745,841","1,731,354","1,782,203","50,849",2.90%,275,Manhattan
Fulton St ,"IND 8th Ave Line (A,C) & BMT Nassau Street Line (J,M,Z) & IRT 7th Ave Line (2,3) & IRT Lexington Ave Line (4,5)","17,971,983","17,868,334","18,721,694","20,102,397","21,671,684","25,162,937","3,491,253",16.10%,7,Manhattan
Grand Central-42 St ,"IRT 42nd Street Shuttle (S) & IRT Lexington Ave Line (4,5,6) & IRT Queensboro Line (7)","42,795,505","42,984,249","44,893,301","46,074,652","46,737,564","46,121,509","-616,055",-1.30%,2,Manhattan
Grand St ,"IND 6th Ave Line (B, D)","7,770,139","7,658,249","7,994,060","8,131,543","8,010,864","7,942,505","-68,359",-0.90%,51,Manhattan
Harlem-148 St ,IRT 6th Ave Line or IRT Lenox Ave Line (3),"1,101,666","1,110,842","1,171,372","1,209,633","1,269,910","1,220,407","-49,503",-3.90%,334,Manhattan
Houston St 1 subway,"IRT 7th Ave Line (1,2,9)","4,225,089","4,287,926","4,510,538","4,562,690","4,377,409","4,375,993","-1,416",0.00%,111,Manhattan
Inwood-207 St A subway,IND 8th Ave Line (A),"3,079,573","2,795,992","2,897,438","2,981,271","3,068,931","2,904,915","-164,016",-5.30%,178,Manhattan
Lexington Av/59 St ,"IRT Lexington Ave Line (4,5,6) & BMT Broadway Line (N,R,W)","20,377,141","20,628,942","21,282,767","21,557,198","21,407,792","21,000,635","-407,157",-1.90%,9,Manhattan
Lexington Av-53 St/51 St ,"IRT Lexington Ave Line (4,5,6) & IND Queens Blvd Line (E,V)","18,948,032","19,280,036","20,262,110","20,513,370","20,479,923","19,929,405","-550,518",-2.70%,11,Manhattan
Lexington Av-63 St ,"IND 63 Street Line (F,Q)","4,722,939","4,566,850","4,462,467","4,479,963","4,718,159","5,033,950","315,791",6.70%,93,Manhattan
Marble Hill-225 St ,"IRT Broadway Line (1,9)","1,476,489","1,721,707","1,725,406","1,846,582","1,809,998","1,777,035","-32,963",-1.80%,276,Manhattan
Prince St ,"BMT Broadway Line (N,Q,R,W)","5,603,783","5,508,110","5,209,433","5,311,765","5,386,641","5,314,922","-71,719",-1.30%,85,Manhattan
Rector St ,"IRT 7th Ave Line (1,9)","2,636,681","3,055,453","3,398,383","3,393,420","3,042,815","2,805,381","-237,434",-7.80%,185,Manhattan
Rector St ,"BMT Broadway Line (N,R,W)","2,413,512","2,053,706","1,524,110","1,116,833","1,896,968","2,038,348","141,380",7.50%,244,Manhattan
Roosevelt Island ,IND 63 Street Line (F),"2,114,468","2,026,567","1,948,925","1,870,476","1,966,493","2,110,471","143,978",7.30%,236,Manhattan
South Ferry/Whitehall St ,"IRT 7th Ave Line (1,9) & BMT Broadway Line (N,R,W)","9,073,709","8,123,655","6,192,660","7,116,897","8,750,364","9,009,136","258,772",3.00%,37,Manhattan
Spring St ,"IRT Lexington Ave Line (4,6)","3,887,184","3,999,949","4,123,703","4,169,799","3,804,403","3,792,870","-11,533",-0.30%,134,Manhattan
Spring St C subway E subway,"IND 8th Ave Line (A,C,E)","3,589,809","3,718,956","3,874,428","3,965,206","3,782,314","3,744,702","-37,612",-1.00%,139,Manhattan
Times Sq-42 St ,"IRT 7th Ave Line (1,2,3,9) & IRT 42nd Street Shuttle (S) & IND 8th Ave Line (A,C,E) & BMT Broadway Line (N,Q,R,W) & IRT Queensboro Line (7)","60,604,822","62,069,437","63,617,614","65,948,730","66,359,208","64,531,511","-1,827,697",-2.80%,1,Manhattan
Wall St ,"IRT 7th Ave Line (2,3)","7,016,078","7,034,940","7,473,489","7,845,023","7,650,853","7,689,447","38,594",0.50%,53,Manhattan
Wall St ,"IRT Lexington Ave Line (4,5)","6,526,692","6,658,687","7,231,884","7,437,325","6,708,745","6,148,384","-560,361",-8.40%,70,Manhattan
West 4 St-Washington Sq ,"IND 8th Ave Line (A,C,E) & IND 6th Ave Line (B,D,F,V)","12,506,322","12,727,443","13,533,369","13,942,101","14,147,148","13,955,067","-192,081",-1.40%,20,Manhattan
Queens,,,,,,,,,,,
103 St-Corona Plaza ,IRT Flushing Line (7),"6,095,306","6,130,376","6,314,870","6,464,627","6,527,196","6,504,644","-22,552",-0.30%,67,Queens
104 St ,IND Fulton Street Line (A),"523,212","507,774","516,000","388,144","538,400","626,547","88,147",16.40%,396,Queens
104 St ,"BMT Jamaica Line (J,Z)","782,115","755,193","779,537","827,890","841,545","850,903","9,358",1.10%,376,Queens
111 St ,IRT Flushing Line (7),"3,494,533","3,473,313","3,607,926","3,659,225","3,699,843","3,753,756","53,913",1.50%,137,Queens
111 St ,IND Fulton Street Line (A),"798,886","796,622","795,820","802,831","767,647","561,857","-205,790",-26.80%,403,Queens
111 St ,BMT Jamaica Line (J),"805,590","764,882","780,300","802,275","812,055","805,255","-6,800",-0.80%,381,Queens
121 St ,"BMT Jamaica Line (J,Z)","694,567","664,855","688,985","766,469","788,674","794,687","6,013",0.80%,383,Queens
169 St ,IND Queens Blvd Line (F),"2,781,001","2,759,602","2,834,112","2,854,274","2,858,542","2,787,763","-70,779",-2.50%,186,Queens
21 St ,IND Crosstown Line (G),"364,597","469,173","422,616","427,353","533,529","580,065","46,536",8.70%,400,Queens
21 St-Queensbridge ,IND 63 Street Line (F),"2,707,275","2,654,261","2,631,860","2,683,624","2,884,831","3,009,540","124,709",4.30%,173,Queens
30 Av ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","4,340,888","4,622,323","4,776,709","4,808,350","4,745,260","4,694,548","-50,712",-1.10%,104,Queens
33 St-Rawson St ,IRT Flushing Line (7),"3,707,015","3,752,701","3,899,003","3,892,589","3,712,153","3,636,632","-75,521",-2.00%,141,Queens
36 Av ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","2,246,477","2,412,794","2,462,645","2,439,630","2,394,564","2,343,925","-50,639",-2.10%,214,Queens
36 St ,"IND Queens Blvd Line (E,G,R,V)","1,238,985","1,257,059","1,278,109","1,307,054","1,339,754","1,355,271","15,517",1.20%,318,Queens
39 Av ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","823,763","930,291","1,012,381","1,104,375","1,072,026","1,016,809","-55,217",-5.20%,360,Queens
40 St-Lowery St ,IRT Flushing Line (7),"3,378,636","3,393,418","3,483,507","3,496,675","3,421,569","3,399,567","-22,002",-0.60%,150,Queens
46 St ,"IND Queens Blvd Line (E,G,R,V)","2,964,965","2,978,233","3,014,082","3,021,219","2,956,981","2,904,517","-52,464",-1.80%,179,Queens
46 St-Bliss St ,IRT Flushing Line (7),"4,683,092","4,638,262","4,734,334","4,695,672","4,593,351","4,541,003","-52,348",-1.10%,108,Queens
52 St ,IRT Flushing Line (7),"2,117,202","2,138,307","2,182,725","2,214,115","2,177,884","2,131,770","-46,114",-2.10%,233,Queens
63 Dr-Rego Park ,"IND Queens Blvd Line (E,G,R,V)","4,891,415","4,998,378","5,129,203","5,272,014","5,244,226","5,219,811","-24,415",-0.50%,87,Queens
65 St ,"IND Queens Blvd Line (E,G,R,V)","1,098,734","1,131,591","1,124,823","1,159,576","1,192,281","1,183,534","-8,747",-0.70%,340,Queens
67 Av ,"IND Queens Blvd Line (E,G,R,V)","2,791,494","2,770,364","2,818,350","2,851,905","2,853,794","2,807,769","-46,025",-1.60%,183,Queens
69 St ,IRT Flushing Line (7),"1,649,055","1,647,057","1,671,584","1,685,222","1,629,526","1,643,806","14,280",0.90%,290,Queens
74-Bway/Jackson Hts-Roosevelt Av ,"IRT Flushing Line (7) & IND Queens Blvd Line (E,F,G,R,V)","16,377,496","16,366,669","16,864,938","17,087,795","17,224,537","17,301,839","77,302",0.40%,14,Queens
75 Av ,"IND Queens Blvd Line (E,F)","1,171,380","1,130,707","1,155,836","1,131,705","1,136,305","1,102,600","-33,705",-3.00%,346,Queens
75 St-Elderts Ln ,"BMT Jamaica Line (J,Z)","1,128,911","1,107,947","1,138,544","1,172,162","1,196,186","1,187,714","-8,472",-0.70%,339,Queens
80 St A subway,IND Fulton Street Line (A),"1,283,827","1,294,099","1,310,413","1,507,116","1,465,264","1,098,234","-367,030",-25.00%,348,Queens
82 St-Jackson Hts ,IRT Flushing Line (7),"5,163,208","5,013,810","5,139,172","5,172,595","5,128,506","5,089,971","-38,535",-0.80%,92,Queens
85 St-Forest Pkwy ,BMT Jamaica Line (J),"1,138,842","1,125,639","1,157,863","1,212,661","1,239,793","1,237,770","-2,023",-0.20%,330,Queens
88 St ,IND Fulton Street Line (A),"805,054","792,615","808,822","613,296","1,011,163","952,251","-58,912",-5.80%,368,Queens
90 St-Elmhurst Av ,IRT Flushing Line (7),"5,480,782","5,428,872","5,513,135","5,480,059","5,489,630","5,471,961","-17,669",-0.30%,80,Queens
Aqueduct Racetrack ,IND Rockaway Ave Line (A),"54,183",0,"213,601","630,644","672,734","676,971","4,237",0.60%,392,Queens
Aqueduct-North Conduit Av ,IND Rockaway Ave Line (A),"474,915","890,505","698,115","357,399","365,488","342,494","-22,994",-6.30%,413,Queens
Astoria Blvd ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","3,850,546","3,871,213","3,962,838","3,914,637","3,926,062","3,894,399","-31,663",-0.80%,130,Queens
Astoria-Ditmars Blvd ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","5,203,409","5,233,305","5,405,084","5,416,919","5,407,027","5,429,314","22,287",0.40%,82,Queens
Beach 105 St ,IND Rockaway Ave Line (A),"80,580","82,088","48,916","82,980","99,254","95,469","-3,785",-3.80%,420,Queens
Beach 25 St ,IND Rockaway Ave Line (A),"501,037","437,602","267,585","519,843","570,312","601,116","30,804",5.40%,397,Queens
Beach 36 St ,IND Rockaway Ave Line (A),"192,676","217,880","143,400","272,799","296,860","305,816","8,956",3.00%,416,Queens
Beach 44 St ,IND Rockaway Ave Line (A),"225,250","161,946","91,331","181,758","197,543","212,440","14,897",7.50%,418,Queens
Beach 60 St ,IND Rockaway Ave Line (A),"555,937","588,970","406,698","772,376","801,015","794,595","-6,420",-0.80%,384,Queens
Beach 67 St-Arverne By The Sea ,IND Rockaway Ave Line (A),"681,006","572,418","357,807","701,784","799,134","811,248","12,114",1.50%,379,Queens
Beach 90 St ,"IND Rockaway Ave Line (A,H,S)","387,012","305,397","194,416","306,284","333,006","335,515","2,509",0.80%,414,Queens
Beach 98 St ,"IND Rockaway Ave Line (A,H,S)","198,503","193,332","100,594","200,197","214,040","203,795","-10,245",-4.80%,419,Queens
Briarwood-Van Wyck Blvd ,"IND Queens Blvd Line (E,F)","1,730,276","1,563,242","1,427,813","1,427,017","1,479,278","1,515,926","36,648",2.50%,305,Queens
Broad Channel ,"IND Rockaway Ave Line (A,H,S)","88,837","75,969","36,849","74,386","91,766","91,208",-558,-0.60%,421,Queens
Broadway ,"BMT Astoria Line aka BMT 31 Street Line (N,W)","4,007,018","4,161,120","4,325,297","4,407,347","4,300,632","4,189,306","-111,326",-2.60%,121,Queens
Court Sq E subway G subway M subway 7 subway,"IRT Queensboro Line (7) & IND Queens Blvd Line (E,V) & IND Crosstown Line (G)","6,334,869","5,340,581","6,072,768","6,664,442","6,730,837","6,809,217","78,380",1.20%,63,Queens
Elmhurst Av ,"IND Queens Blvd Line (E,G,R,V)","4,338,857","4,344,648","4,343,633","4,362,316","4,350,714","4,268,747","-81,967",-1.90%,117,Queens
Far Rockaway-Mott Av ,"IND Rockaway Ave Line (A,H,S)","1,426,835","1,217,871","806,025","1,486,147","1,576,988","1,572,694","-4,294",-0.30%,299,Queens
Flushing-Main St ,IRT Flushing Line (7),"18,967,751","19,034,789","19,102,434","19,085,948","19,082,391","19,257,879","175,488",0.90%,12,Queens
Forest Av ,BMT Myrtle Ave Line (M),"1,172,881","1,134,938","1,179,301","1,235,376","1,317,289","1,316,296",-993,-0.10%,324,Queens
Forest Hills-71 Av ,"IND Queens Blvd Line (E,F,G,R,V)","8,316,825","8,342,293","8,573,480","8,585,239","8,654,547","8,581,096","-73,451",-0.80%,42,Queens
Fresh Pond Rd,BMT Myrtle Ave Line (M),"1,617,252","1,590,304","1,534,754","1,676,862","1,806,429","1,831,889","25,460",1.40%,266,Queens
Grand Av-Newtown ,"IND Queens Blvd Line (E,G,R,V)","5,721,038","5,741,626","5,832,568","5,861,823","5,995,764","6,057,028","61,264",1.00%,71,Queens
Howard Beach-JFK Airport ,IND Rockaway Ave Line (A),"928,529","1,074,516","1,626,984","963,503","1,041,816","1,012,067","-29,749",-2.90%,363,Queens
Hunters Point Av ,IRT Flushing Line (7),"1,655,252","1,704,114","1,710,103","1,791,109","1,848,769","1,994,002","145,233",7.90%,253,Queens
Jamaica Center-Parsons-Archer ,"IND/BMT Archer Ave Line (E,J,Z)","12,147,163","12,204,423","12,507,906","12,784,635","12,622,977","12,470,914","-152,063",-1.20%,25,Queens
Jamaica-179 St ,"IND Queens Blvd Line (E,F)","6,818,728","6,767,423","6,868,439","6,818,494","6,898,938","6,783,119","-115,819",-1.70%,64,Queens
Jamaica-Van Wyck ,IND Queens Blvd Line (E),"1,527,249","1,552,178","1,565,998","1,587,413","1,545,016","1,536,716","-8,300",-0.50%,301,Queens
Junction Blvd ,IRT Flushing Line (7),"6,963,489","6,784,942","6,816,700","6,946,966","7,064,435","7,249,912","185,477",2.60%,58,Queens
Kew Gardens-Union Turnpike ,"IND Queens Blvd Line (E,F)","8,179,749","8,296,905","8,609,185","8,363,109","8,354,731","8,109,611","-245,120",-2.90%,48,Queens
Mets-Willets Point ,IRT Flushing Line (7),"1,729,243","1,693,024","1,902,121","1,875,472","2,120,859","2,004,343","-116,516",-5.50%,250,Queens
Middle Village-Metropolitan Av ,BMT Myrtle Ave Line (M),"1,220,377","1,189,616","1,200,171","1,300,110","1,361,246","1,365,048","3,802",0.30%,316,Queens
Northern Blvd ,"IND Queens Blvd Line (E,G,R,V)","2,184,353","2,214,223","2,239,136","2,290,836","2,282,296","2,264,100","-18,196",-0.80%,221,Queens
Ozone Park-Lefferts Blvd A subway,IND Fulton Street Line (A),"2,286,542","2,246,624","2,262,961","2,263,109","2,224,331","2,351,557","127,226",5.70%,213,Queens
Parsons Blvd ,"IND Queens Blvd Line (E,F)","1,920,497","1,950,852","2,035,948","2,052,252","2,094,007","2,063,042","-30,965",-1.50%,242,Queens
Queens Plaza ,"IND Queens Blvd Line (E,G,R,V)","2,550,906","2,747,366","2,855,006","3,005,223","3,101,888","3,124,028","22,140",0.70%,165,Queens
Queensboro Plaza ,"IRT Queensboro Line (7) & BMT Astoria Line aka BMT 31 Street Line (N,W)","3,047,146","3,350,219","3,569,290","3,785,260","3,773,168","4,105,500","332,332",8.80%,125,Queens
Rockaway Blvd ,IND Rockaway Ave Line (A),"2,373,967","2,446,937","2,637,100","2,575,171","1,729,268","2,382,252","652,984",37.80%,209,Queens
Rockaway Park-Beach 116 St ,"IND Rockaway Ave Line (A,H,S)","286,902","251,080","135,956","231,407","255,542","250,220","-5,322",-2.10%,417,Queens
Seneca Av ,BMT Myrtle Ave Line (M),"758,144","716,729","711,011","755,026","842,069","854,251","12,182",1.40%,375,Queens
Steinway St ,"IND Queens Blvd Line (E,G,R,V)","4,930,914","4,866,245","4,798,179","4,807,448","4,779,346","4,703,321","-76,025",-1.60%,103,Queens
Sutphin Blvd ,IND Queens Blvd Line (F),"1,470,022","1,468,970","1,550,363","1,468,419","1,506,607","1,414,334","-92,273",-6.10%,311,Queens
Sutphin Blvd-Archer Av-JFK Airport ,"IND/BMT Archer Ave Line (E,J,Z)","6,839,255","6,975,316","7,303,038","7,633,725","7,767,728","7,904,869","137,141",1.80%,52,Queens
Vernon Blvd-Jackson Av 7 subway,IRT Flushing Line (7),"3,170,128","3,357,030","3,726,974","4,169,876","4,462,652","4,877,185","414,533",9.30%,97,Queens
Woodhaven Blvd ,"BMT Jamaica Line (J,Z)","1,357,800","1,328,319","1,398,536","1,505,920","1,551,590","1,513,298","-38,292",-2.50%,306,Queens
Woodhaven Blvd ,"IND Queens Blvd Line (E,G,R,V)","7,241,776","7,157,320","7,157,254","7,125,205","7,120,037","7,144,921","24,884",0.30%,61,Queens
Woodside-61 St ,IRT Flushing Line (7),"5,382,589","5,273,308","5,330,760","5,356,621","5,432,682","5,511,564","78,882",1.50%,79,Queens
